404: Not Found
港台频道2&爬虫更新,#genre#
KOREA,http://37.27.111.214:8080/live/52/hls.m3u8
KOREA,http://shuma004.chunfengyun.top:8080/live/52/hls.m3u8
LIFETIME,http://37.27.111.214:8080/live/71/hls.m3u8
LIFETIME,http://shuma004.chunfengyun.top:8080/live/71/hls.m3u8
LISTENONSPOTIFY,http://61.221.215.25:8800/hls/58/index.m3u8
LOVENATURE,http://37.27.111.214:8080/live/84/hls.m3u8
LOVENATURE,http://shuma004.chunfengyun.top:8080/live/84/hls.m3u8
LUXE,http://37.27.111.214:8080/live/86/hls.m3u8
LUXE,http://shuma004.chunfengyun.top:8080/live/86/hls.m3u8
MCE,http://37.27.111.214:8080/live/98/hls.m3u8
MCE,http://shuma004.chunfengyun.top:8080/live/98/hls.m3u8
MTV,http://37.27.111.214:8080/live/25/hls.m3u8
MTV,http://shuma004.chunfengyun.top:8080/live/25/hls.m3u8
Nickelodeon,http://37.27.111.214:8080/live/12/hls.m3u8
Nickelodeon,http://shuma004.chunfengyun.top:8080/live/12/hls.m3u8
PETCLUB,http://37.27.111.214:8080/live/81/hls.m3u8
PETCLUB,http://shuma004.chunfengyun.top:8080/live/81/hls.m3u8
ROCKACTION,http://37.27.111.214:8080/live/94/hls.m3u8
ROCKACTION,http://shuma004.chunfengyun.top:8080/live/94/hls.m3u8
ROCK,http://37.27.111.214:8080/live/70/hls.m3u8
ROCK,http://shuma004.chunfengyun.top:8080/live/70/hls.m3u8
TECHSTORM,http://37.27.111.214:8080/live/80/hls.m3u8
TECHSTORM,http://shuma004.chunfengyun.top:8080/live/80/hls.m3u8
TV5MONDE,http://37.27.111.214:8080/live/9/hls.m3u8
TV5MONDE,http://shuma004.chunfengyun.top:8080/live/9/hls.m3u8
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
TVBS,http://shuma004.chunfengyun.top:8080/live/23/hls.m3u8
TVBS新闻,http://211.72.65.236:8574/.m3u8
TVBS欢乐台,http://37.27.111.214:8080/live/24/hls.m3u8
TVB星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
TiTV,http://37.27.111.214:8080/live/2/hls.m3u8
TiTV,http://shuma004.chunfengyun.top:8080/live/2/hls.m3u8
US|StarMovies,http://doubleclicktv.live/70376812/52663544/276996
VOA,http://37.27.111.214:8080/live/45/hls.m3u8
VOA,http://shuma004.chunfengyun.top:8080/live/45/hls.m3u8
elta生活旅游,http://37.27.111.214:8080/live/85/hls.m3u8
hokkotv,http://37.27.111.214:8080/live/1/hls.m3u8
momo,http://37.27.111.214:8080/live/3/hls.m3u8
